scout_id,scout_batch,source_platform,firm_name,source_url,city,state,practice_area_primary,practice_area_secondary,firm_size_proxy,visible_star_bands,visible_review_types,review_volume_signal,source_access_confidence,source_status,notes
wave80_nmilc_nm_google_maps,20260328_wave80,google_maps,New Mexico Immigration Law Center,"https://www.google.com/maps/place/New+Mexico+Immigration+Law+Center/data=!4m7!3m6!1s0x87220cc0d1b4f059:0x1d8f5329acf859e7!8m2!3d35.0833279!4d-106.6551468!16s%2Fg%2F11c58nsz24!19sChIJWfC00cAMIocR51n4rClTjx0?authuser=0&hl=en&rclk=1",Albuquerque,NM,immigration,,local_firm,1;3;4;5,low_star_contact_failure;low_star_expectation_break;explicit_positive_trust;long_form,medium,high,captured_live,Verified Google Maps immigration page with visible full-text one-star and five-star rows in New Mexico; live page showed zero two-star reviews and the one-star quote chip was used to open the full low-star body for the 2026-04-04 Wave80 pass.
wave80_utahcda_ut_google_maps,20260328_wave80,google_maps,Utah Criminal Defense Attorneys,"https://www.google.com/maps/place/Utah+Criminal+Defense+Attorneys/@40.698899,-111.9001526,17z/data=!3m1!4b1!4m6!3m5!1s0x87528b7a4c84b053:0xd54709103b7e367a!8m2!3d40.698899!4d-111.9001526!16s%2Fg%2F11h269gglq?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDQwMS4wIKXMDSoASAFQAw%3D%3D",Salt Lake City,UT,criminal_defense,,local_firm,1;5,low_star_contact_failure;low_star_expectation_break;explicit_positive_trust,medium,high,captured_live,Verified Google Maps criminal-defense page with visible full-text one-star and five-star rows in Utah; live page showed zero two-star reviews, so the 2026-04-04 Wave80 pass used the visible one-star quote chip plus full five-star trust text.
wave80_joshlee_ok_google_maps,20260328_wave80,google_maps,Josh Lee & Associates Criminal Defense & DUI Attorneys,"https://www.google.com/maps/place/Josh+Lee+%26+Associates+Criminal+Defense+%26+DUI+Attorneys/data=!4m7!3m6!1s0x87b21aee9f2b4015:0xef52e73a00d75af9!8m2!3d35.3853593!4d-97.5475891!16s%2Fg%2F1tcxdq99!19sChIJFUArn-4asocR-VrXADrnUu8?authuser=0&hl=en&rclk=1",Oklahoma City,OK,criminal_defense,,regional_firm,1;3;4;5,explicit_positive_outcome;explicit_positive_trust;long_form,medium,high,captured_live,Verified Google Maps criminal-defense page with visible full-text five-star rows in Oklahoma City; live page showed zero two-star reviews and the lowest-sort view continued surfacing only positive cards, so the 2026-04-04 Wave80 pass captured a text-rich positive row while documenting the honest two-star miss.
wave80_bailey_or_google_maps_dead_2star,20260328_wave80,google_maps,Bailey Immigration,https://www.google.com/maps/place/Bailey+Immigration/@45.4910272,-122.671294,17z/data=!3m1!5s0x54950a58940fe063:0xb217f264fc56a8e8!4m8!3m7!1s0x54950a5eec1bf47f:0xcd492f25ad4d4d21!8m2!3d45.4910272!4d-122.671294!9m1!1b1!16s%2Fg%2F1tr178hy?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDQwMS4wIKXMDSoASAFQAw%3D%3D,Portland,OR,immigration,,local_firm,2,explicit_visible_2star_count;lowest_sort_dead_end,medium,high,scouted_live,Pass 36 Google Maps 2-star surfacing scout: visible 2-star count existed; Lowest sort loaded; no full-text 2-star body surfaced after review-panel attempts.
wave80_fakhoury_mi_google_maps_dead_2star,20260328_wave80,google_maps,Fakhoury Global Immigration,https://www.google.com/maps/place/Fakhoury+Global+Immigration/@42.5941059,-83.171839,17z/data=!4m8!3m7!1s0x8824c6e9a616f831:0xba1c3e1a9fca65c7!8m2!3d42.5941059!4d-83.171839!9m1!1b1!16s%2Fg%2F1td0bkdp?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDQwMS4wIKXMDSoASAFQAw%3D%3D,Troy,MI,immigration,,regional_firm,2,explicit_visible_2star_count;lowest_sort_dead_end,medium,high,scouted_live,Pass 36 Google Maps 2-star surfacing scout: visible 2-star count existed; Lowest sort loaded; no full-text 2-star body surfaced after review-panel attempts.
wave80_romero_nm_google_maps_dead_2star,20260328_wave80,google_maps,Mary Ann Romero & Associates,https://www.google.com/maps/place/Mary+Ann+Romero+%26+Associates/@35.0954312,-106.6505894,17z/data=!4m8!3m7!1s0x87220cbca14bb8b3:0xc6cd0de6ed0824a3!8m2!3d35.0954312!4d-106.6505894!9m1!1b1!16s%2Fg%2F1tf5l31b?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDQwMS4wIKXMDSoASAFQAw%3D%3D,Albuquerque,NM,immigration,,local_firm,2,explicit_visible_2star_count;lowest_sort_dead_end,medium,high,scouted_live,Pass 36 Google Maps 2-star surfacing scout: visible 2-star count existed; Lowest sort loaded; no full-text 2-star body surfaced after review-panel attempts.
wave80_randall_nc_google_maps_dead_2star,20260328_wave80,google_maps,Randall Law PLLC,https://www.google.com/maps/place/Randall+Law+PLLC/data=!4m7!3m6!1s0x88569f797b2d2f9b:0xc0194f57231b7039!8m2!3d35.2180349!4d-80.8375568!16s%2Fg%2F1ptx9_y8l!19sChIJmy8te3mfVogROXAbI1dPGcA?authuser=0&hl=en&rclk=1,Charlotte,NC,criminal_defense,,local_firm,2,explicit_visible_2star_count;lowest_sort_dead_end,medium,high,scouted_live,Pass 36 Google Maps 2-star surfacing scout: visible 2-star count existed; Lowest sort loaded; no full-text 2-star body surfaced after review-panel attempts.
wave80_junglelaw_mo_google_maps_dead_2star,20260328_wave80,google_maps,Jungle Law,https://www.google.com/maps/place/Jungle+Law/data=!4m7!3m6!1s0x87c0f04071c55397:0x38f468c7389c7ef0!8m2!3d39.0858281!4d-94.5852559!16s%2Fg%2F11f3scljss!19sChIJl1PFcUDwwIcR8H6cOMdo9Dg?authuser=0&hl=en&rclk=1,Kansas City,MO,criminal_defense,,regional_firm,2,explicit_visible_2star_count;lowest_sort_dead_end,medium,high,scouted_live,Pass 36 Google Maps 2-star surfacing scout: visible 2-star count existed; Lowest sort loaded; no full-text 2-star body surfaced after review-panel attempts.
wave80_cogan_or_google_maps_dead_2star,20260328_wave80,google_maps,"Mark C. Cogan, P.C.",https://www.google.com/maps/place/Mark+C.+Cogan,+P.C./data=!4m7!3m6!1s0x54950a118a64521f:0xadbfff943cdc2e67!8m2!3d45.5120112!4d-122.6763248!16s%2Fg%2F1v4k66r8!19sChIJH1JkihEKlVQRZy7cPJT_v60?authuser=0&hl=en&rclk=1,Portland,OR,criminal_defense,,local_firm,2,explicit_visible_2star_count;lowest_sort_dead_end,medium,high,scouted_live,Pass 36 Google Maps 2-star surfacing scout: visible 2-star count existed; Lowest sort loaded; no full-text 2-star body surfaced after review-panel attempts.
wave80_gavlin_ny_avvo_2star,20260328_wave80,avvo,Nataliya I. Gavlin,https://www.avvo.com/attorneys/10007-ny-nataliya-gavlin-1791518.html?rating=2,New York,NY,immigration,,local_firm,2,low_star_contact_failure;low_star_expectation_break,high,high,captured_live,Pass 36 controlled fallback row captured after the six-lane Google Maps 2-star threshold triggered; filtered Avvo review stayed in-practice and full-text.
wave80_matthewnielson_ut_lawyers_com_2star,20260328_wave80,lawyers_com,Matthew Nielson Disability Law,https://www.lawyers.com/sandy/utah/matthew-nielson-disability-law-161097405-f/,Sandy,UT,social_security_disability,,local_firm,2,low_star_expectation_break;trust_vs_outcome_ambiguity,medium,high,captured_live,Pass 36 controlled fallback row captured after the six-lane Google Maps 2-star threshold triggered; Lawyers.com page exposed a full-text 2-star Social Security Disability review in visible HTML.
wave80_collins_md_lawyers_com_2star,20260328_wave80,lawyers_com,The Collins Firm,https://www.lawyers.com/columbia/maryland/the-collins-firm-3255783-f/?reviewsPage=4#reviews,Columbia,MD,estate_planning,probate,regional_firm,2,low_star_expectation_break;low_star_clarity_break;long_form,medium,high,captured_live,Pass 36 controlled fallback row captured after the six-lane Google Maps 2-star threshold triggered; Lawyers.com page exposed a full-text 2-star Trusts and Estates review in visible HTML.
wave80_stamm_md_lawyers_com_2star,20260328_wave80,lawyers_com,Leonard R. Stamm,https://www.lawyers.com/greenbelt/maryland/leonard-r-stamm-634044-a/,Greenbelt,MD,criminal_defense,dui_dwi,local_firm,2,low_star_expectation_break;trust_vs_outcome_ambiguity;long_form,medium,high,captured_live,Pass 36 controlled fallback row captured after the six-lane Google Maps 2-star threshold triggered; Lawyers.com page exposed a full-text 2-star Criminal Law review in visible HTML.
wave80_pass37_robertwest_nv_google_maps_dead_2star,20260328_wave80,google_maps,Immigration Lawyer Robert West,https://www.google.com/maps/place/Immigration+Lawyer+Robert+West/data=!4m7!3m6!1s0x80c8cff8b8947a27:0x33326b0b3f8b04a5!8m2!3d36.1257285!4d-115.1827292!16s%2Fg%2F1thtpwng!19sChIJJ3qUuPjPyIARpQSLPwtrMjM?authuser=0&hl=en&rclk=1,Las Vegas,NV,immigration,,local_firm,2,explicit_visible_2star_count;lowest_sort_dead_end,medium,high,scouted_live,Pass 37 Google Maps 2-star surfacing scout: visible 2-star count existed; Lowest sort and review-panel attempts stayed in limited-view mode and did not surface a usable full-text 2-star body.
wave80_pass37_fulton_oh_google_maps_dead_2star,20260328_wave80,google_maps,Philip J. Fulton Law Office,"https://www.google.com/maps/place/Philip+J.+Fulton+Law+Office/@39.9688393,-85.3066395,8z/data=!3m1!5s0x88388f2ebc4519a9:0x770d18e5cffa9076!4m12!1m2!2m1!1ssocial+security+disability+attorney+Columbus+OH!3m8!1s0x88388f2ebdb75551:0xa0e57b9b139da84f!8m2!3d39.9688393!4d-82.9995106!9m1!1b1!15sCi9zb2NpYWwgc2VjdXJpdHkgZGlzYWJpbGl0eSBhdHRvcm5leSBDb2x1bWJ1cyBPSCIDiAEBWjEiL3NvY2lhbCBzZWN1cml0eSBkaXNhYmlsaXR5IGF0dG9ybmV5IGNvbHVtYnVzIG9okgEWcGVyc29uYWxfaW5qdXJ5X2xhd3llcpoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSa2NqUXRZVE4zUlJBQuABAPoBBAgAEDM!16s%2Fg%2F1tddsw02?entry=ttu&g_ep=EgoyMDI2MDQwMS4wIKXMDSoASAFQAw%3D%3D",Columbus,OH,social_security_disability,,regional_firm,2,explicit_visible_2star_count;lowest_sort_dead_end,medium,high,scouted_live,Pass 37 Google Maps 2-star surfacing scout: visible 2-star count existed; Lowest sort kept surfacing non-2-star cards and never exposed a usable full-text 2-star body.
wave80_pass37_manring_oh_google_maps_dead_2star,20260328_wave80,google_maps,Manring & Farrell,https://www.google.com/maps/search/Manring+%26+Farrell+Columbus+OH,Columbus,OH,social_security_disability,,regional_firm,2,no_review_tab;limited_view_pane,low,medium,scouted_live,"Pass 37 Google Maps 2-star surfacing scout: the selected place panel never exposed a usable review tab and stayed in a limited-view state, so no full-text 2-star body could be surfaced."
wave80_pass37_disabilityhelpers_il_google_maps_dead_2star,20260328_wave80,google_maps,Disability Helpers LLC,https://www.google.com/maps/place/Disability+Helpers+LLC/data=!4m7!3m6!1s0x880e2da555555555:0x2d2ffe9344af4cf1!8m2!3d41.6933388!4d-87.7573416!16s%2Fg%2F113g33gph!19sChIJVVVVVaUtDogR8UyvRJP-Ly0?authuser=0&hl=en&rclk=1,Alsip,IL,social_security_disability,,regional_firm,2,no_review_tab;limited_view_pane,low,medium,scouted_live,"Pass 37 Google Maps 2-star surfacing scout: the direct place page rendered only overview/about style limited-view content with no usable review tab, so no full-text 2-star body surfaced."
wave80_pass37_newfrontier_az_google_maps_dead_2star,20260328_wave80,google_maps,New Frontier Immigration Law,"https://www.google.com/maps/place/New+Frontier+Immigration+Law/@33.4599444,-112.0823207,17z/data=!4m8!3m7!1s0x872b13e7a7465d3d:0x23f216f055126c22!8m2!3d33.4599444!4d-112.0823207!9m1!1b1!16s%2Fg%2F11gnpzc7mf?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDQwMS4wIKXMDSoASAFQAw%3D%3D",Phoenix,AZ,immigration,,regional_firm,2,explicit_visible_2star_count;lowest_sort_dead_end,high,high,scouted_live,"Pass 37 Google Maps 2-star surfacing scout: visible 2-star count existed, but Lowest sort and direct histogram attempts still never surfaced a usable full-text 2-star body before the page fell back to limited view."
wave80_pass37_accessdisability_mo_google_maps_dead_2star,20260328_wave80,google_maps,"Access Disability, LLC","https://www.google.com/maps/place/Access+Disability,+LLC/data=!4m7!3m6!1s0x87df2d0de5fa6125:0x789bb185cc42d289!8m2!3d38.6822538!4d-90.4730181!16s%2Fg%2F1hm41qs8n!19sChIJJWH65Q0t34cRidJCzIWxm3g?authuser=0&hl=en&rclk=1",St. Louis,MO,social_security_disability,,local_firm,2,no_review_tab;limited_view_pane,low,medium,scouted_live,"Pass 37 Google Maps 2-star surfacing scout: the direct place page stayed in overview/about limited view with no usable review tab, so no full-text 2-star body could be surfaced."
wave80_pass37_ericpalacios_nv_google_maps_dead_2star,20260328_wave80,google_maps,Eric Palacios & Associates Ltd,"https://www.google.com/maps/place/Eric+Palacios+%26+Associates+Ltd/@36.147688,-115.2634001,12z/data=!4m12!1m2!2m1!1simmigration+attorney+Las+Vegas+NV!3m8!1s0x80c8c4985dbeebaf:0xd1106b4c48bdf8a5!8m2!3d36.147688!4d-115.1192045!9m1!1b1!15sCiFpbW1pZ3JhdGlvbiBhdHRvcm5leSBMYXMgVmVnYXMgTlZaIyIhaW1taWdyYXRpb24gYXR0b3JuZXkgbGFzIHZlZ2FzIG52kgEUaW1taWdyYXRpb25fYXR0b3JuZXmaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTktlV0Y2VlZwbkVBReABAPoBBAhAEC0!16s%2Fg%2F113f_fz_p?entry=ttu&g_ep=EgoyMDI2MDQwMS4wIKXMDSoASAFQAw%3D%3D",Las Vegas,NV,immigration,,regional_firm,2,explicit_visible_2star_count;lowest_sort_dead_end,medium,high,scouted_live,"Pass 37 Google Maps 2-star surfacing scout: visible 2-star count existed; direct histogram, Lowest sort, and review-panel scroll attempts never surfaced a usable full-text 2-star body."
wave80_pass37_velasquez_nv_google_maps_dead_2star,20260328_wave80,google_maps,Velasquez Immigration Law Group,"https://www.google.com/maps/place/Velasquez+Immigration+Law+Group/@36.0876446,-115.1018053,17z/data=!3m1!4b1!4m6!3m5!1s0x80c8c56752d82801:0x57c9be0860792e41!8m2!3d36.0876446!4d-115.1018053!16s%2Fg%2F11b724jy2z?entry=ttu&g_ep=EgoyMDI2MDQwMS4wIKXMDSoASAFQAw%3D%3D",Las Vegas,NV,immigration,,regional_firm,2,explicit_visible_2star_count;quote_chip_mismatch;lowest_sort_dead_end,medium,high,scouted_live,"Pass 37 Google Maps 2-star surfacing scout: visible 2-star count existed, but the live quote-chip route resolved to a 3-star reviewer page and no usable full-text 2-star body surfaced in the review panel."
wave80_pass37_downard_tn_lawyers_com_2star,20260328_wave80,lawyers_com,Downard & Associates,https://www.lawyers.com/chattanooga/tennessee/downard-and-associates-157890819-f/?reviewsPage=3,Chattanooga,TN,social_security_disability,,local_firm,2,low_star_expectation_break;trust_vs_outcome_ambiguity,medium,high,captured_live,Pass 37 controlled fallback row: Lawyers.com page exposed a visible full-text 2-star Social Security review after the same-pass Google Maps surfacing threshold was re-earned.
wave80_pass37_ashmore_sc_lawyers_com_2star,20260328_wave80,lawyers_com,"Ashmore Leaphart & Rabon, LLC",https://www.lawyers.com/greenville/south-carolina/ashmore-leaphart-rabon-llc-1588275-f/,Greenville,SC,estate_planning,probate,regional_firm,2,low_star_expectation_break,low,high,captured_live,Pass 37 controlled fallback row: Lawyers.com page exposed a visible full-text 2-star Trusts and Estates review after the same-pass Google Maps surfacing threshold was re-earned.
wave80_pass37_alanross_pa_lawyers_com_2star,20260328_wave80,lawyers_com,Law Office of Alan Michael Ross,https://www.lawyers.com/harrisburg/pennsylvania/law-office-of-alan-michael-ross-43121644-f/,Harrisburg,PA,criminal_defense,,local_firm,2,low_star_expectation_break;trust_vs_outcome_ambiguity,low,high,captured_live,Pass 37 controlled fallback row: Lawyers.com page exposed a visible full-text 2-star Criminal Law review after the same-pass Google Maps surfacing threshold was re-earned.
